leak_rate,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1.5,2,bismuth,24,9457.134816254746,10035.293181517382,0.2700701010239119,9457.134816254746,309.5255545779231
1.5,3,cement,24,209.82627569926842,268.33299186956674,0.007221385256160978,52.93560455060592,27.213708094361955
1.5,4,copper,24,24758.091661040493,25118.67385420812,1.0499538385038094,-24758.091661040493,67.08085822700517
1.5,5,cork,24,144.87215211302276,171.04963294497784,0.004603292680540127,79.79569738108766,73.15985845646208
1.5,6,graphite,24,3725.5452425984745,4627.943556188782,0.12454735114812863,-1876.4532041449813,28.064366309130364
1.5,7,gypsum,24,901.1290040087537,1593.1379693427134,0.042874575215983805,806.0609607065074,89.57919992037617
1.5,8,iron,24,4280.138455378452,5525.44058295406,0.14870081715085373,-1110.4931656145225,19.209713480441945
1.5,9,nickel,24,5914.369040264965,6756.139187328406,0.18182141366970006,-4781.725730400703,33.63190781363501
1.5,10,pdms,24,188.59475293734877,228.1905658772374,0.006141071124127414,-173.73547077592931,44.901276734726615
1.5,11,ps_foam,24,182.96206728525146,270.76802767424886,0.0072884863277635865,182.96206728525146,383.11660178866657
1.5,12,pu_foam,24,127.7082703297748,215.93144816784246,0.00581115339294064,126.64134694349025,136.63155218602265
1.5,13,titanium,24,5708.551688199271,6290.915577454733,0.16930130239395813,4805.980664419675,79.02733211270159
1.5,14,wood,24,1642.1469791588354,3428.609007783859,0.09227082501277466,1317.3260031560055,56.98739588476995
