condition,channel_set,held_out_material,n,mae,rmse,nrmse_global_range,mean_error_bias,median_ape_pct
A_not_baseline_centered,S,pdms,24,265.8582774553865,343.1978316432666,0.009236149994480754,-103.65742095725459,48.510264335607175
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,ps_foam,24,121.19133328280826,176.27817488026008,0.004744003352677752,121.19133328280826,220.54531104737234
A_not_baseline_centered,P_delta_dP,ps_foam,24,104.89722081850402,141.6109085617706,0.0038110368765113182,104.89722081850402,186.18336520783592
A_not_baseline_centered,S_delta_dS,ps_foam,24,138.42482534544766,172.90626458358642,0.004653258405022069,138.42482534544766,380.1016625793611
A_not_baseline_centered,P_dP,ps_foam,24,94.83181322649592,139.6879549051834,0.0037592862919588617,94.83181322649592,132.89196309937574
A_not_baseline_centered,S_dS,ps_foam,24,216.83193727956743,394.4471137421345,0.010615372160040984,216.83193727956743,394.1960664435668
A_not_baseline_centered,delta,ps_foam,24,138.08163314303275,167.9037111173997,0.004518629541116144,138.08163314303275,269.4627623357228
A_not_baseline_centered,P,ps_foam,24,81.76655287120592,124.52270736060228,0.003351158710398921,81.76655287120592,120.99646742380696
A_not_baseline_centered,S,ps_foam,24,418.1687760669997,689.6318919501091,0.018559393468573854,418.1687760669997,545.7817255090587
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,pu_foam,24,198.81451780361874,410.43550116536056,0.011045652105877823,198.81451780361874,219.63924519976135
A_not_baseline_centered,P_delta_dP,pu_foam,24,147.22488121287302,254.59206509634578,0.0068515890364909075,147.22488121287302,212.94432625326147
A_not_baseline_centered,S_delta_dS,pu_foam,24,117.51960015494986,141.71697036749472,0.003813891214901695,117.25724457465553,278.471136576037
A_not_baseline_centered,P_dP,pu_foam,24,178.39641320801056,296.5574369825014,0.007980962341266282,178.39641320801056,212.94632499376266
A_not_baseline_centered,S_dS,pu_foam,24,90.73520240614421,107.19956980171091,0.002884957930216681,90.73520240614421,201.22828093154322
A_not_baseline_centered,delta,pu_foam,24,169.93795812225616,237.68596612798092,0.0063966116109468564,169.93795812225616,261.8321784392958
A_not_baseline_centered,P,pu_foam,24,253.47787447866077,723.1340820872483,0.01946100538077226,253.47787447866077,254.22262327252758
A_not_baseline_centered,S,pu_foam,24,106.46699941253935,130.37160053283,0.0035085642930091903,106.46699941253935,212.2937811020269
