outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
6,graphite,15,expected_improvement,27,0.605418104109553,1.1680466884649254,0.6067827263068477,4,0.30405045729172964,0.13074298558074413,0.4102064176287281,0.33673620368691565
6,graphite,4,random_initialization,25,0.1368168487344743,1.9872989143891313,0.7320993861649998,1,0.3173973427509543,0.11747311497948755,0.4023236626968959,0.34676562149582624
6,graphite,23,expected_improvement,12,0.5660230512812598,0.8891501075032616,0.8678611547378261,0,0.3193825783638589,0.11388699471364001,0.3888402548457688,0.34785432704226893
6,graphite,11,expected_improvement,52,0.6303437087755775,0.25990345350945987,0.6826274630614092,3,0.31577260842474925,0.16254171382332946,0.3306180246515364,0.3564080368805816
6,graphite,7,random_initialization,67,0.2100788619936052,0.27578749654507556,1.451109052079468,2,0.3245681005309574,0.1388742286623387,0.3363877818264522,0.3592866576965421
6,graphite,24,expected_improvement,71,0.6766064837211712,0.2747008424250754,1.2469549321623035,5,0.32335145414679606,0.1518955221964953,0.3236108469059602,0.3613253346959199
7,gypsum,22,expected_improvement,32,0.17802105245527688,0.34870800655161405,0.5691628976306362,2,0.21852915658237182,0.11552711673813372,0.6584258085647138,0.24741093576690526
7,gypsum,2,random_initialization,16,0.9085493768702884,0.6357293908044391,0.5825907766445831,1,0.21692235263202123,0.13621000983740478,0.6345440232249435,0.2509748550913724
7,gypsum,14,expected_improvement,38,0.6592406773035323,0.7440396181398076,0.5498408871698766,1,0.21949815436106526,0.12839490612442206,0.6429646533660115,0.2515968808921708
7,gypsum,12,expected_improvement,12,0.7924120314162812,0.8781259633010182,0.44788791334360745,0,0.2196702644793712,0.13341963949868704,0.6271685268910805,0.253025174354043
7,gypsum,20,expected_improvement,26,0.27508277713313445,0.30989137776403186,0.5896821330819402,2,0.22676952921276375,0.10806522876544218,0.6476749676213016,0.2537858364041243
7,gypsum,18,expected_improvement,37,0.39020580211956196,0.6266340147129413,0.5167933366659248,1,0.22964131685262879,0.12125762130290876,0.6238004601050741,0.259955722178356
7,gypsum,19,expected_improvement,53,0.6624735560064366,0.6263493388865693,0.5239817848197239,1,0.22558162156023037,0.1391421220878504,0.6031890616783118,0.26036715208219297
7,gypsum,21,expected_improvement,29,0.8941773186625681,1.3689461295433112,0.37543343705955523,2,0.23527158230027917,0.1246719683646011,0.6031613631022823,0.26643957439142946
7,gypsum,15,expected_improvement,59,0.08963555977536922,1.0634744568332608,0.37094700477539094,2,0.2347740027887068,0.12747501333031638,0.6050779982087666,0.2666427561212859
7,gypsum,13,expected_improvement,20,0.9399982483438672,0.47573212994829084,0.3260045668747327,3,0.23423427131938054,0.12998338903079606,0.6043908465259037,0.26673011857707957
7,gypsum,10,expected_improvement,34,0.7514690646066967,1.2741796926885627,0.49074043283472824,2,0.23372583958058446,0.13243162197067498,0.5967363571195693,0.2668337450732532
7,gypsum,9,expected_improvement,26,0.9478600237598376,1.4159332873623778,0.3076688058392797,2,0.2361118180993976,0.12289474438198064,0.610272190421499,0.26683550419489277
7,gypsum,3,random_initialization,77,0.37924270207159516,0.2594734322862105,0.49783284124683924,3,0.23688517800948777,0.12264886778162433,0.6031440300907829,0.2675473949548939
7,gypsum,5,random_initialization,74,0.20721437654437475,1.8161826656124194,1.0919424219788778,4,0.23912900809942872,0.11539206409356202,0.6131341441433296,0.2679770241228192
7,gypsum,17,expected_improvement,57,0.878796918128342,0.3408046876278556,0.8099997461132296,0,0.24187954264934314,0.11356389175158454,0.6039020336422144,0.27027051558723925
7,gypsum,7,random_initialization,68,0.17134844711336006,1.1535542093379734,1.24712525145412,3,0.23651322620284382,0.14425189487097184,0.5766307937767479,0.2725761999205868
7,gypsum,6,random_initialization,11,0.18249630725249383,1.6302409004967282,0.8883379373058657,3,0.24068372514126002,0.13264337823428032,0.5841074805014496,0.2738445696998301
7,gypsum,24,expected_improvement,63,0.2395775259400894,0.47413408177996413,0.5836310636778881,3,0.25333762861169395,0.11356031963527446,0.5742671010457858,0.28172770852051254
7,gypsum,11,expected_improvement,35,0.9373059616102906,1.247052990381063,0.7336596149828631,2,0.2517429876753404,0.12506724277478426,0.5695252370838846,0.2830097983690365
7,gypsum,23,expected_improvement,32,0.09003670550040019,0.35871183855778255,0.514378223214605,2,0.25769974623000136,0.10400568830030651,0.5739759854766031,0.28370116830507797
