index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary,Label,eff,Elbow time,Elbow value,Elbow index,Time from elbow,Primary aligned,Secondary aligned,diff,id
118,cement,1,1.73,1.0,1.0,2700.0,880.0,11.80066,0.28895321417366254,0.33382629144736065,ceramic,2027,9.50066,0.0006603,95.0,2.3000000000000007,-3.5399999999999017e-06,3.786000000000002e-05,-0.18674701911535463,cement_trial_1
119,cement,1,1.73,1.0,1.0,2700.0,880.0,11.90066,0.2733917640933322,0.31116437219308546,ceramic,2027,9.50066,0.0006603,95.0,2.4000000000000004,-3.599999999999979e-06,3.782000000000004e-05,-0.17963126144054864,cement_trial_1
120,cement,1,1.73,1.0,1.0,2700.0,880.0,12.0007,0.25783031401302997,0.2885024529388103,ceramic,2027,9.50066,0.0006603,95.0,2.5000400000000003,-3.659999999999948e-06,3.778000000000006e-05,-0.1725155037657812,cement_trial_1
121,cement,1,1.73,1.0,1.0,2700.0,880.0,12.10067,0.23708171390596036,0.24317861443026004,ceramic,2027,9.50066,0.0006603,95.0,2.6000099999999993,-3.7399999999999066e-06,3.77000000000001e-05,-0.1725155037657812,cement_trial_1
122,cement,1,1.73,1.0,1.0,2700.0,880.0,12.2007,0.23708171390596036,0.23184765480306102,ceramic,2027,9.50066,0.0006603,95.0,2.7000399999999996,-3.7399999999999066e-06,3.7680000000000005e-05,-0.17963126144058722,cement_trial_1
123,cement,1,1.73,1.0,1.0,2700.0,880.0,12.30066,0.22152026382563003,0.2091857355487859,ceramic,2027,9.50066,0.0006603,95.0,2.8000000000000007,-3.799999999999984e-06,3.7640000000000026e-05,-0.1725155037657812,cement_trial_1
124,cement,1,1.73,1.0,1.0,2700.0,880.0,12.40066,0.20595881374532785,0.17519285666737316,ceramic,2027,9.50066,0.0006603,95.0,2.9000000000000004,-3.859999999999953e-06,3.758000000000006e-05,-0.1725155037657812,cement_trial_1
125,cement,1,1.73,1.0,1.0,2700.0,880.0,12.500660000000002,0.19558451369179303,0.152530937413098,ceramic,2027,9.50066,0.0006603,95.0,3.0000000000000018,-3.899999999999932e-06,3.754000000000008e-05,-0.1725155037657812,cement_trial_1
126,cement,1,1.73,1.0,1.0,2700.0,880.0,12.600700000000002,0.1800230636114908,0.11853805853162387,ceramic,2027,9.50066,0.0006603,95.0,3.1000400000000017,-3.959999999999901e-06,3.748e-05,-0.17251550376581978,cement_trial_1
127,cement,1,1.73,1.0,1.0,2700.0,880.0,12.70066,0.16964876355792788,0.08454517965021115,ceramic,2027,9.50066,0.0006603,95.0,3.1999999999999993,-3.999999999999989e-06,3.742000000000003e-05,-0.17963126144054864,cement_trial_1
128,cement,1,1.73,1.0,1.0,2700.0,880.0,12.8007,0.1592744635043931,0.061883260395935995,ceramic,2027,9.50066,0.0006603,95.0,3.300040000000001,-4.039999999999968e-06,3.738000000000005e-05,-0.17963126144054864,cement_trial_1
129,cement,1,1.73,1.0,1.0,2700.0,880.0,12.9007,0.14371301342409087,0.03922134114166085,ceramic,2027,9.50066,0.0006603,95.0,3.4000400000000006,-4.099999999999937e-06,3.734000000000007e-05,-0.1725155037657812,cement_trial_1
130,cement,1,1.73,1.0,1.0,2700.0,880.0,13.00067,0.13852586339732345,0.005228462260248125,ceramic,2027,9.50066,0.0006603,95.0,3.5000099999999996,-4.119999999999927e-06,3.7280000000000104e-05,-0.18674701911531605,cement_trial_1
131,cement,1,1.73,1.0,1.0,2700.0,880.0,13.10066,0.12815156334378866,-0.017433456994088447,ceramic,2027,9.50066,0.0006603,95.0,3.5999999999999996,-4.159999999999906e-06,3.7240000000000016e-05,-0.18674701911535463,cement_trial_1
132,cement,1,1.73,1.0,1.0,2700.0,880.0,13.20066,0.12296441331702125,-0.05142633587550117,ceramic,2027,9.50066,0.0006603,95.0,3.6999999999999993,-4.179999999999896e-06,3.718000000000005e-05,-0.20097853446488947,cement_trial_1
133,cement,1,1.73,1.0,1.0,2700.0,880.0,13.30066,0.11259011326345833,-0.07408825512977632,ceramic,2027,9.50066,0.0006603,95.0,3.8000000000000007,-4.219999999999983e-06,3.714000000000007e-05,-0.20097853446485092,cement_trial_1
134,cement,1,1.73,1.0,1.0,2700.0,880.0,13.40066,0.10740296323669092,-0.09675017438405147,ceramic,2027,9.50066,0.0006603,95.0,3.9000000000000004,-4.239999999999973e-06,3.710000000000009e-05,-0.20809429213961833,cement_trial_1
135,cement,1,1.73,1.0,1.0,2700.0,880.0,13.500660000000002,0.09702866318315612,-0.13074305326552563,ceramic,2027,9.50066,0.0006603,95.0,4.000000000000002,-4.279999999999952e-06,3.704000000000001e-05,-0.21521004981442432,cement_trial_1
136,cement,1,1.73,1.0,1.0,2700.0,880.0,13.60066,0.08665436312962131,-0.17606689177407592,ceramic,2027,9.50066,0.0006603,95.0,4.1,-4.3199999999999315e-06,3.696000000000005e-05,-0.22944156516395917,cement_trial_1
137,cement,1,1.73,1.0,1.0,2700.0,880.0,13.70067,0.0710929130493191,-0.21005977065548864,ceramic,2027,9.50066,0.0006603,95.0,4.200010000000001,-4.3799999999999005e-06,3.6900000000000084e-05,-0.22944156516395917,cement_trial_1
