trial_id,Sample,Temperature,Trial,reservoir_seed,P_peak_to_peak,P_net_change,dPdt_max_abs,dPdt_abs_auc,state_mean_rms,state_temporal_variability,state_mean_abs,state_path_length,state_saturation_fraction
40C__copper_trial_5,copper,40C,5,42,8.640979020979492e-06,-8.640979020979492e-06,9.497674477168716e-06,8.640967000389056e-06,0.35026760627020287,0.04092918650613175,0.2816757813785466,1.0077518153587615,0.0
40C__copper_trial_5,copper,40C,5,43,8.640979020979492e-06,-8.640979020979492e-06,9.497674477168716e-06,8.640967000389056e-06,0.5366908828262958,0.05394958625057884,0.4528110794605711,1.0178578572306736,0.0
40C__copper_trial_5,copper,40C,5,44,8.640979020979492e-06,-8.640979020979492e-06,9.497674477168716e-06,8.640967000389056e-06,0.5475477422523247,0.06041943277542626,0.5211434398557028,1.2195444616435318,0.0
40C__copper_trial_6,copper,40C,6,42,8.81258741258805e-06,-8.81258741258805e-06,9.796363636363961e-06,8.812630560526048e-06,0.3502973312110613,0.04032185613978352,0.2816025763651297,1.0077535878045492,0.0
40C__copper_trial_6,copper,40C,6,43,8.81258741258805e-06,-8.81258741258805e-06,9.796363636363961e-06,8.812630560526048e-06,0.5370920750950601,0.05318613479132515,0.4530301126268675,1.0178582734512513,0.0
40C__copper_trial_6,copper,40C,6,44,8.81258741258805e-06,-8.81258741258805e-06,9.796363636363961e-06,8.812630560526048e-06,0.5479299990624311,0.059513633696970006,0.5215000518244489,1.2195444801382616,0.0
40C__cork_trial_1,cork,40C,1,42,6.085314685320845e-07,-6.085314685320845e-07,5.350697602625291e-07,6.08543219193081e-07,0.35029752355419,0.04032073192267832,0.281602402446853,1.0077306598010423,0.0
40C__cork_trial_1,cork,40C,1,43,6.085314685320845e-07,-6.085314685320845e-07,5.350697602625291e-07,6.08543219193081e-07,0.5370909912349812,0.053185571523874195,0.45302887476482373,1.0178479691585909,0.0
40C__cork_trial_1,cork,40C,1,44,6.085314685320845e-07,-6.085314685320845e-07,5.350697602625291e-07,6.08543219193081e-07,0.54793046286856,0.05951391837304709,0.5215002562736184,1.2195475478785611,0.0
40C__cork_trial_2,cork,40C,2,42,6.401398601406068e-07,-6.401398601406068e-07,7.229861464551693e-07,6.401369742628147e-07,0.350297510775612,0.040320730231302414,0.28160239848681096,1.007730709390104,0.0
